workspaceId,projectId,name,serialNumber,partNumber,partNumberType,hardwareRevision,softwareRelease,site,status,condition,installationDate,warrantyEndDate,eolDate,lastServiceDate,criticality,compatibilityRisk,source
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 001,SN-BASE-000001,A2V0002384001,A2V,HW-2.1,SW-2.1.1,OBB,INSTALLED,GOOD,2012-01-20,2018-01-18,2027-01-16,2013-01-20,LOW,LOW,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 002,SN-BASE-000002,A6Z0002332002,A6Z,HW-3.2,SW-3.2.2,Bern SBB,INSTALLED,GOOD,2012-02-08,2018-02-06,2027-02-04,2013-02-09,MEDIUM,MEDIUM,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 003,SN-BASE-000003,A5N0003307003,AN,HW-4.3,SW-4.3.3,SBB,INSTALLED,GOOD,2012-02-27,2018-02-25,2027-02-23,2013-03-01,HIGH,HIGH,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 004,SN-BASE-000004,ABCD1204-504,WLN,HW-5.4,SW-5.4.4,SBB Luzern,INSTALLED,FAIR,2012-03-17,2018-03-16,2027-03-14,2013-03-21,CRITICAL,LOW,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 005,SN-BASE-000005,6XX6205-0AB15,STAMMHAUS,HW-6.5,SW-6.5.5,SBB Basel,INSTALLED,GOOD,2012-04-05,2018-04-04,2027-04-02,2013-04-10,LOW,MEDIUM,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 006,SN-BASE-000006,A2V0002384006,A2V,HW-7.6,SW-7.6.6,SBB Lausanne,INSTALLED,FAIR,2012-04-24,2018-04-23,2027-04-21,2013-04-30,MEDIUM,HIGH,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 007,SN-BASE-000007,A6Z0002332007,A6Z,HW-8.7,SW-8.7.7,OBB,IN_STOCK,POOR,2012-05-13,2018-05-12,2027-05-10,2013-05-20,HIGH,LOW,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 008,SN-BASE-000008,A5N0003307008,AN,HW-1.8,SW-9.8.8,Bern SBB,IN_STOCK,GOOD,2012-06-01,2018-05-31,2027-05-29,2013-06-09,CRITICAL,MEDIUM,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 009,SN-BASE-000009,ABCD1209-509,WLN,HW-2.9,SW-1.9.9,SBB,IN_REPAIR,GOOD,2012-06-20,2018-06-19,2027-06-17,2013-06-29,LOW,HIGH,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 010,SN-BASE-000010,6XX6210-0AB20,STAMMHAUS,HW-3.0,SW-2.10.10,SBB Luzern,RESERVED,GOOD,2012-07-09,2018-07-08,2027-07-06,2013-07-19,MEDIUM,LOW,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 011,SN-BASE-000011,A2V0002384011,A2V,HW-4.1,SW-3.11.11,SBB Basel,RETIRED,FAIR,2012-07-28,2018-07-27,2027-07-25,2013-08-08,HIGH,MEDIUM,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 012,SN-BASE-000012,A6Z0002332012,A6Z,HW-5.2,SW-4.0.12,SBB Lausanne,INSTALLED,GOOD,2012-08-16,2018-08-15,2027-08-13,2013-08-28,CRITICAL,HIGH,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 013,SN-BASE-000013,A5N0003307013,AN,HW-6.3,SW-5.1.13,OBB,INSTALLED,FAIR,2012-09-04,2018-09-03,2027-09-01,2013-09-17,LOW,LOW,REPAIR_INTAKE
